15,"Scotch-Brite Fibre Broom (Green) - Pack of 2, Plastic, Hard_Floor",B07R8KGMJX,695,750,"  #25,113 in Home Improvement (See Top 100 in Home Improvement)  #398 in Brooms (Home Improvement)   "
16,Scotch-Brite Plastic Spin Mop Head and Handle (Suitable for Scotch-Brite 2 in 1 Spin Mop Only),B0BNV1FHVB,645,675,  #42 in Home Improvement (See Top 100 in Home Improvement)  #6 in Household Bucket Mops   
17,"Scotch-Brite 2-in-1 Bucket Spin Mop Refill ( Microfiber, White )",B08BK7WKK5,269,299,  #238 in Home Improvement (See Top 100 in Home Improvement)  #17 in Household Bucket Mops   
18,"Scotch-Brite Combo | No-Dust Broom, Long Handle, Easy Floor Cleaning (Multi-use) | 1 Additional Refill Head, Plastic Fibre",B0BNTTSGQ7,500,590,  #591 in Home Improvement (See Top 100 in Home Improvement)  #16 in Brooms (Home Improvement)   
19,Scotch-Brite Telescopic Handle for scotch-brite mops & squeegees,B0BPBSK9X1,305,349,"  #1,971 in Home Improvement (See Top 100 in Home Improvement)  #35 in Squeegees   "
20,Scotch-Brite Microfiber Strip Mop with Telescopic Handle for Fine Dirt Removal,B07WVZX54X,"1,290","1,290","  #7,185 in Home Improvement (See Top 100 in Home Improvement)  #116 in Household Wet & Dry Mops   "
1,"Scotch-Brite 2-in-1 Bucket Spin Mop (Green, 2 Refills), 4 Pcs",B07LDKFM2Y,"1,089","1,800",  #8 in Home Improvement (See Top 100 in Home Improvement)  #2 in Household Bucket Mops   
2,Scotch-Brite Supreme Spin Mop (2N Microfiber Refills),B089Z7K5F3,"1,699","2,399","  #2,048 in Home Improvement (See Top 100 in Home Improvement)  #73 in Household Bucket Mops   "
3,"Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)",B07LC7LF9Y,289,375,  #17 in Home Improvement (See Top 100 in Home Improvement)  #1 in Brooms (Home Improvement)   
4,"Scotch-Brite Multi-purpose Microfiber Flat Mop with 1 extra refill for Dry & Wet Cleaning, 360 degree Rotating head and Telescopic handle, suitable for Floor, Glass, Ceiling and Walls (Green)",B00NQ03WR4,"1,399","1,848",  #330 in Home Improvement (See Top 100 in Home Improvement)  #6 in Household Wet & Dry Mops   
5,Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),B00NBM3IE4,375,450,  #15 in Home Improvement (See Top 100 in Home Improvement)  #1 in Squeegees   
6,"Scotch-Brite Plastic No Dust Broom Hard_Floor Refill Head without Handle (This Product Does Not Contain A Handle, Only Refill Suitable to Be Used with Broom), Ash",B0C82497NH,215,250,  #290 in Home Improvement (See Top 100 in Home Improvement)  #11 in Brooms (Home Improvement)   
